group,classify_why,product_type,handle,status,reason,sizeChart,shadowVisible,box,matched_keyword,match_field,matched_value,is_excluded,excluded_keyword,resolution_source,resolution_collection,reverify,certified,url
footwear,type:Football Cleats,Football Cleats,luxury-warhawk-football-cleats-quantum-speed-2-0-by-phenom-elite,PASS,footwear renders (box 339x50),7f3b0aa8-4c6,true,339x50,cleats,product_title,Luxury Warhawk Football Cleats Quantum Speed 2.0 by Phenom Elite,false,,keyword_match,,,,https://mpnt2j1w4hdz2k2b-20780321.shopifypreview.com/products/luxury-warhawk-football-cleats-quantum-speed-2-0-by-phenom-elite
footwear,type:Football Cleats,Football Cleats,quantum-speed-2-0-football-cleats-team-colors,PASS,footwear renders (box 339x50),7f3b0aa8-4c6,true,339x50,cleats,product_title,Phenom Elite Quantum Speed 2.0 Football Cleats - Team Colors,false,,keyword_match,,,,https://mpnt2j1w4hdz2k2b-20780321.shopifypreview.com/products/quantum-speed-2-0-football-cleats-team-colors
footwear,type:Football Cleats,Football Cleats,quantum-speed-2-0-football-cleats-purple,PASS,footwear renders (box 339x50),7f3b0aa8-4c6,true,339x50,cleats,product_title,Phenom Elite Quantum Speed 2.0 Football Cleats - Purple,false,,keyword_match,,,,https://mpnt2j1w4hdz2k2b-20780321.shopifypreview.com/products/quantum-speed-2-0-football-cleats-purple
footwear,type:Football Cleats,Football Cleats,quantum-speed-2-0-football-cleats-orange,PASS,footwear renders (box 339x50),7f3b0aa8-4c6,true,339x50,cleats,product_title,Phenom Elite Quantum Speed 2.0 Football Cleats - Orange,false,,keyword_match,,,,https://mpnt2j1w4hdz2k2b-20780321.shopifypreview.com/products/quantum-speed-2-0-football-cleats-orange
footwear,type:Football Cleats,Football Cleats,quantum-speed-2-0-football-cleats-navy,PASS,footwear renders (box 339x50),7f3b0aa8-4c6,true,339x50,cleats,product_title,Phenom Elite Quantum Speed 2.0 Football Cleats - Navy,false,,keyword_match,,,,https://mpnt2j1w4hdz2k2b-20780321.shopifypreview.com/products/quantum-speed-2-0-football-cleats-navy
footwear,type:Football Cleats,Football Cleats,quantum-speed-2-0-football-cleats-red,PASS,footwear renders (box 339x50),7f3b0aa8-4c6,true,339x50,cleats,product_title,Phenom Elite Quantum Speed 2.0 Football Cleats - Red,false,,keyword_match,,,,https://mpnt2j1w4hdz2k2b-20780321.shopifypreview.com/products/quantum-speed-2-0-football-cleats-red
footwear,type:Football Cleats,Football Cleats,quantum-speed-2-0-football-cleats-black,PASS,footwear renders (box 339x50),7f3b0aa8-4c6,true,339x50,cleats,product_title,Phenom Elite Quantum Speed 2.0 Football Cleats - Black,false,,keyword_match,,,,https://mpnt2j1w4hdz2k2b-20780321.shopifypreview.com/products/quantum-speed-2-0-football-cleats-black
footwear,type:Football Cleats,Football Cleats,quantum-speed-2-0-football-cleats-white,FAIL,COVERAGE GAP — no chart/no paint,,false,,,,,,,,,,,https://mpnt2j1w4hdz2k2b-20780321.shopifypreview.com/products/quantum-speed-2-0-football-cleats-white
footwear,type:Football Cleats,Football Cleats,quantum-speed-2-0-football-cleats-royal-blue,FAIL,COVERAGE GAP — no chart/no paint,,false,,,,,,,,,,,https://mpnt2j1w4hdz2k2b-20780321.shopifypreview.com/products/quantum-speed-2-0-football-cleats-royal-blue
footwear,type:Football Cleats,Football Cleats,phenom-elite-quantum-carbon-football-cleats-slime-leopard,PASS,footwear renders (box 339x50),7f3b0aa8-4c6,true,339x50,cleats,product_title,Phenom Elite Quantum Carbon Football Cleats – Slime Leopard,false,,keyword_match,,,,https://mpnt2j1w4hdz2k2b-20780321.shopifypreview.com/products/phenom-elite-quantum-carbon-football-cleats-slime-leopard
footwear,kw:CLEAT,Bundle,bogo-team-color-cleats,FAIL,COVERAGE GAP — chart set but no paint,7f3b0aa8-4c6,false,,cleats,product_title,BOGO TEAM COLOR CLEATS,false,,keyword_match,,,,https://mpnt2j1w4hdz2k2b-20780321.shopifypreview.com/products/bogo-team-color-cleats
footwear,type:Football Cleats,Football Cleats,phantom-warhawk-football-cleats-quantum-speed-2-0-by-phenom-elite,PASS,footwear renders (box 339x50),7f3b0aa8-4c6,true,339x50,cleats,product_title,Stealth Warhawk Football Cleats Quantum Speed 2.0 by Phenom Elite,false,,keyword_match,,,,https://mpnt2j1w4hdz2k2b-20780321.shopifypreview.com/products/phantom-warhawk-football-cleats-quantum-speed-2-0-by-phenom-elite
