group,classify_why,product_type,handle,status,reason,sizeChart,shadowVisible,box,matched_keyword,match_field,matched_value,is_excluded,excluded_keyword,resolution_source,resolution_collection,reverify,certified,url
non-footwear,title-exclude:GLOVE,Bundle,buy-2-gloves-get-two-pairs-free,PASS,suppressed,,false,,,,,false,,none,,,,https://mpnt2j1w4hdz2k2b-20780321.shopifypreview.com/products/buy-2-gloves-get-two-pairs-free
non-footwear,type:Football Gloves,Football Gloves,phenom-elite-qf-adult-padded-football-gloves-team-colors,PASS,suppressed,,false,,,,,false,,none,,,,https://mpnt2j1w4hdz2k2b-20780321.shopifypreview.com/products/phenom-elite-qf-adult-padded-football-gloves-team-colors
non-footwear,type:Football Gloves,Football Gloves,quantum-fierce-adult-padded-football-gloves-yellow,PASS,suppressed,,false,,,,,false,,none,,,,https://mpnt2j1w4hdz2k2b-20780321.shopifypreview.com/products/quantum-fierce-adult-padded-football-gloves-yellow
non-footwear,type:Football Gloves,Football Gloves,quantum-fierce-adult-padded-football-gloves-kelly-green,PASS,suppressed,,false,,,,,false,,none,,,,https://mpnt2j1w4hdz2k2b-20780321.shopifypreview.com/products/quantum-fierce-adult-padded-football-gloves-kelly-green
non-footwear,type:Football Gloves,Football Gloves,quantum-fierce-adult-padded-football-gloves-dark-green,PASS,suppressed,,false,,,,,false,,none,,,,https://mpnt2j1w4hdz2k2b-20780321.shopifypreview.com/products/quantum-fierce-adult-padded-football-gloves-dark-green
non-footwear,type:Football Gloves,Football Gloves,quantum-fierce-adult-padded-football-gloves-navy-blue,PASS,suppressed,,false,,,,,false,,none,,,,https://mpnt2j1w4hdz2k2b-20780321.shopifypreview.com/products/quantum-fierce-adult-padded-football-gloves-navy-blue
non-footwear,type:Football Gloves,Football Gloves,quantum-fierce-adult-padded-football-gloves-orange,PASS,suppressed,,false,,,,,false,,none,,,,https://mpnt2j1w4hdz2k2b-20780321.shopifypreview.com/products/quantum-fierce-adult-padded-football-gloves-orange
non-footwear,type:Football Gloves,Football Gloves,quantum-fierce-adult-padded-football-gloves-columbia-blue,PASS,suppressed,,false,,,,,false,,none,,,,https://mpnt2j1w4hdz2k2b-20780321.shopifypreview.com/products/quantum-fierce-adult-padded-football-gloves-columbia-blue
non-footwear,type:Football Gloves,Football Gloves,quantum-fierce-adult-padded-football-gloves-slime-green,PASS,suppressed,,false,,,,,false,,none,,,,https://mpnt2j1w4hdz2k2b-20780321.shopifypreview.com/products/quantum-fierce-adult-padded-football-gloves-slime-green
non-footwear,type:Football Gloves,Football Gloves,quantum-fierce-adult-padded-football-gloves-royal-blue,PASS,suppressed,,false,,,,,false,,none,,,,https://mpnt2j1w4hdz2k2b-20780321.shopifypreview.com/products/quantum-fierce-adult-padded-football-gloves-royal-blue
non-footwear,type:Football Gloves,Football Gloves,quantum-fierce-adult-padded-football-gloves-red,PASS,suppressed,,false,,,,,false,,none,,,,https://mpnt2j1w4hdz2k2b-20780321.shopifypreview.com/products/quantum-fierce-adult-padded-football-gloves-red
