group,classify_why,product_type,handle,status,reason,sizeChart,shadowVisible,box,matched_keyword,match_field,matched_value,is_excluded,excluded_keyword,resolution_source,resolution_collection,reverify,certified,url
footwear,empty-type(brand-default-foot),,sumner-high-school-adult-bundle-crewneck-joggers,FAIL,COVERAGE GAP — no chart/no paint,,false,,,,,true,crewneck,excluded,,,,https://rudis.com/products/sumner-high-school-adult-bundle-crewneck-joggers
footwear,empty-type(brand-default-foot),,sumner-high-school-youth-bundle-crewneck-joggers,FAIL,COVERAGE GAP — no chart/no paint,,false,,,,,true,crewneck,excluded,,,,https://rudis.com/products/sumner-high-school-youth-bundle-crewneck-joggers
footwear,type:Wrestling,Wrestling,kenny-monday-1988-adult-wrestling-shoes-united-purple,PASS,footwear renders (box 230x41),60c59067-044,true,230x41,wrestling,product_title,Kenny Monday 1988 Adult Wrestling Shoes - Purple,false,,keyword_match,,,,https://rudis.com/products/kenny-monday-1988-adult-wrestling-shoes-united-purple
footwear,type:Wrestling,Wrestling,jb1-youth-wrestling-shoes-prowl,PASS,footwear renders (box 230x41),60c59067-044,true,230x41,jb1,product_title,JB1 Youth Wrestling Shoes - Prowl,false,,keyword_match,,,,https://rudis.com/products/jb1-youth-wrestling-shoes-prowl
footwear,empty-type(brand-default-foot),,test-1-kylre,FAIL,COVERAGE GAP — no chart/no paint,,false,,,,,false,,none,,,,https://rudis.com/products/test-1-kylre
footwear,type:Wrestling,Wrestling,jb1-adult-wrestling-shoes-prowl,PASS,footwear renders (box 230x41),60c59067-044,true,230x41,jb1,product_title,JB1 Adult Wrestling Shoes - Prowl,false,,keyword_match,,,,https://rudis.com/products/jb1-adult-wrestling-shoes-prowl
footwear,type:Wrestling,Wrestling,hildebrandt-2-0-girls-wrestling-shoes-leopard,FAIL,COVERAGE GAP — no chart/no paint,,false,,hildebrandt,product_title,Hildebrandt 2.0 Girl's Wrestling Shoes - Leopard,true,bra,excluded,,,,https://rudis.com/products/hildebrandt-2-0-girls-wrestling-shoes-leopard
footwear,type:Wrestling,Wrestling,rudis-samurai-speed-youth-wrestling-shoes-kokoro,PASS,footwear renders (box 230x41),60c59067-044,true,230x41,samurai,product_title,RUDIS Samurai Speed Youth Wrestling Shoes - Kokoro,false,,keyword_match,,,,https://rudis.com/products/rudis-samurai-speed-youth-wrestling-shoes-kokoro
footwear,type:Wrestling,Wrestling,hildebrandt-2-0-womens-wrestling-shoes-leopard,FAIL,COVERAGE GAP — no chart/no paint,,false,,hildebrandt,product_title,Hildebrandt 2.0 Women's Wrestling Shoes - Leopard,true,bra,excluded,,,,https://rudis.com/products/hildebrandt-2-0-womens-wrestling-shoes-leopard
footwear,type:Wrestling,Wrestling,rudis-samurai-speed-adult-wrestling-shoes-kokoro,PASS,footwear renders (box 230x41),60c59067-044,true,230x41,samurai,product_title,RUDIS Samurai Speed Adult Wrestling Shoes - Kokoro,false,,keyword_match,,,,https://rudis.com/products/rudis-samurai-speed-adult-wrestling-shoes-kokoro
footwear,empty-type(brand-default-foot),,saucon-valley-wrestling-club-black-adult,PASS,footwear renders (box 230x41),60c59067-044,true,230x41,wrestling,product_title,Saucon Valley Wrestling Club Black Adult,false,,keyword_match,,,,https://rudis.com/products/saucon-valley-wrestling-club-black-adult
footwear,empty-type(brand-default-foot),,saucon-valley-wrestling-club-black-youth,PASS,footwear renders (box 230x41),60c59067-044,true,230x41,wrestling,product_title,Saucon Valley Wrestling Club Black youth,false,,keyword_match,,,,https://rudis.com/products/saucon-valley-wrestling-club-black-youth
footwear,empty-type(brand-default-foot),,saucon-valley-wrestling-club-red-adult,PASS,footwear renders (box 230x41),60c59067-044,true,230x41,wrestling,product_title,Saucon Valley Wrestling Club RED Adult,false,,keyword_match,,,,https://rudis.com/products/saucon-valley-wrestling-club-red-adult
footwear,empty-type(brand-default-foot),,saucon-valley-wrestling-club-youth-red,PASS,footwear renders (box 230x41),60c59067-044,true,230x41,wrestling,product_title,Saucon Valley Wrestling Club Youth RED,false,,keyword_match,,,,https://rudis.com/products/saucon-valley-wrestling-club-youth-red
footwear,empty-type(brand-default-foot),,hypnosis-youth-bundle,PASS,footwear renders (box 230x41),60c59067-044,true,230x41,ks,collection_title,Gearpacks,false,,keyword_match,,,,https://rudis.com/products/hypnosis-youth-bundle
footwear,empty-type(brand-default-foot),,hypnosis-bundle,PASS,footwear renders (box 230x41),60c59067-044,true,230x41,ks,collection_title,Gearpacks,false,,keyword_match,,,,https://rudis.com/products/hypnosis-bundle
footwear,type:Wrestling,Wrestling,rudis-courage-2-0-youth-wrestling-shoes-pink-glo,PASS,footwear renders (box 230x41),60c59067-044,true,230x41,courage,product_title,RUDIS Courage 2.0 Youth Wrestling Shoes - Pink Glo,false,,keyword_match,,,,https://rudis.com/products/rudis-courage-2-0-youth-wrestling-shoes-pink-glo
footwear,type:Wrestling,Wrestling,rudis-courage-2-0-adult-wrestling-shoes-pink-glo,PASS,footwear renders (box 230x41),60c59067-044,true,230x41,courage,product_title,RUDIS Courage 2.0 Adult Wrestling Shoes - Pink Glo,false,,keyword_match,,,,https://rudis.com/products/rudis-courage-2-0-adult-wrestling-shoes-pink-glo
footwear,type:Wrestling,Wrestling,hildebrandt-2-0-girls-wrestling-shoes-neon-surge,FAIL,COVERAGE GAP — no chart/no paint,,false,,hildebrandt,product_title,Hildebrandt 2.0 Girl's Wrestling Shoes - Neon Surge,true,bra,excluded,,,,https://rudis.com/products/hildebrandt-2-0-girls-wrestling-shoes-neon-surge
footwear,type:Wrestling,Wrestling,hildebrandt-2-0-womens-adult-wrestling-shoes-neon-surge,FAIL,COVERAGE GAP — no chart/no paint,,false,,hildebrandt,product_title,Hildebrandt 2.0 Women's Adult Wrestling Shoes - Neon Surge,true,bra,excluded,,,,https://rudis.com/products/hildebrandt-2-0-womens-adult-wrestling-shoes-neon-surge
footwear,type:Wrestling,Wrestling,hildebrandt-2-0-womens-adult-wrestling-shoes-aurora-black,FAIL,COVERAGE GAP — no chart/no paint,,false,,hildebrandt,product_title,Hildebrandt 2.0 Women's Adult Wrestling Shoes - Aurora Black,true,bra,excluded,,,,https://rudis.com/products/hildebrandt-2-0-womens-adult-wrestling-shoes-aurora-black
footwear,type:Wrestling,Wrestling,hildebrandt-2-0-girls-wrestling-shoes-aurora-black,FAIL,COVERAGE GAP — no chart/no paint,,false,,hildebrandt,product_title,Hildebrandt 2.0 Girl's Wrestling Shoes - Aurora Black,true,bra,excluded,,,,https://rudis.com/products/hildebrandt-2-0-girls-wrestling-shoes-aurora-black
