group,classify_why,product_type,handle,status,reason,sizeChart,shadowVisible,box,matched_keyword,match_field,matched_value,is_excluded,excluded_keyword,resolution_source,resolution_collection,reverify,certified,url
tops,type:Tops(default-non-foot),Tops,fargo-wrestling-2026-jersey,FAIL,"LEAK — scanner on non-footwear (kw ""wrestling"")",60c59067-044,true,230x41,wrestling,product_title,USA Wrestling Jersey,false,,keyword_match,,,,https://rudis.com/products/fargo-wrestling-2026-jersey
tops,title-exclude:Shirt,Tops,iron-sharpens-iron-youth-heavyweight-t-shirt,PASS,suppressed,,false,,,,,true,shirt,excluded,,,,https://rudis.com/products/iron-sharpens-iron-youth-heavyweight-t-shirt
tops,title-exclude:Shirt,Tops,fight-the-good-fight-youth-heavyweight-t-shirt,PASS,suppressed,,false,,,,,true,shirt,excluded,,,,https://rudis.com/products/fight-the-good-fight-youth-heavyweight-t-shirt
tops,title-exclude:Shirt,Tops,heavyweight-jersey-youth-t-shirt-black,PASS,suppressed,,false,,,,,true,shirt,excluded,,,,https://rudis.com/products/heavyweight-jersey-youth-t-shirt-black
tops,title-exclude:Shirt,Tops,rudis-all-in-boxy-hybrid-t-shirt,PASS,suppressed,,false,,wrestling,collection_title,RUDIS Wrestling,true,shirt,excluded,,,,https://rudis.com/products/rudis-all-in-boxy-hybrid-t-shirt
tops,title-exclude:Hoodie,Tops,hoodie-and-crewneck-youth-event-mystery-box,PASS,suppressed,,false,,,,,true,hoodie,excluded,,,,https://rudis.com/products/hoodie-and-crewneck-youth-event-mystery-box
tops,title-exclude:Shirt,Tops,3-pack-event-t-shirt-mystery-box,ERROR,page.goto: net::ERR_CONNECTION_CLOSED at https://rudis.com/products/3-pack-event-t-shirt-mystery-box?realift-debug-console=show Call log: [,,,,,,,,,,,,,https://rudis.com/products/3-pack-event-t-shirt-mystery-box
tops,title-exclude:Shirt,Tops,rudis-outline-boxy-hybrid-t-shirt,PASS,suppressed,,false,,training,collection_title,RUDIS Training,true,shirt,excluded,,,,https://rudis.com/products/rudis-outline-boxy-hybrid-t-shirt
tops,title-exclude:Hoodie,Tops,hoodie-and-crewneck-adult-event-mystery-box,PASS,suppressed,,false,,ks,collection_title,Men's Crewnecks,true,hoodie,excluded,,,,https://rudis.com/products/hoodie-and-crewneck-adult-event-mystery-box
tops,title-exclude:Shirt,Tops,3-pack-youth-event-t-shirt-mystery-box,PASS,suppressed,,false,,,,,true,shirt,excluded,,,,https://rudis.com/products/3-pack-youth-event-t-shirt-mystery-box
