group,classify_why,product_type,handle,status,reason,sizeChart,shadowVisible,box,matched_keyword,match_field,matched_value,is_excluded,excluded_keyword,resolution_source,resolution_collection,reverify,certified,url
footwear,type:Shoes,Shoes,brio-sd120-adult-black,PASS,footwear renders (box 242x50),96a383b7-e39,true,242x50,sd120,product_title,Brio - SD120 (Adult),false,,keyword_match,,,,https://e4no22mu9tsutcr4-52545421474.shopifypreview.com/products/brio-sd120-adult-black
footwear,type:Shoes,Shoes,brio-sd120-adult-white,PASS,footwear renders (box 242x50),96a383b7-e39,true,242x50,sd120,product_title,Brio - SD120 (Adult),false,,keyword_match,,,,https://e4no22mu9tsutcr4-52545421474.shopifypreview.com/products/brio-sd120-adult-white
footwear,type:Shoes,Shoes,ronnie-bl230,PASS,footwear renders (box 242x50),96a383b7-e39,true,242x50,bl230,product_title,Ronnie - BL230,false,,keyword_match,,,,https://e4no22mu9tsutcr4-52545421474.shopifypreview.com/products/ronnie-bl230
footwear,type:Shoes,Shoes,sd34-satin,PASS,footwear renders (box 242x50),96a383b7-e39,true,242x50,sd34,product_title,Aurora - SD34 - Satin,false,,keyword_match,,,,https://e4no22mu9tsutcr4-52545421474.shopifypreview.com/products/sd34-satin
footwear,type:Shoes,Shoes,sd40vc-stretch-canvas-mocha,PASS,footwear renders (box 242x50),96a383b7-e39,true,242x50,sd40v,product_title,Toshie - SD40VC - Stretch Canvas,false,,keyword_match,,,,https://e4no22mu9tsutcr4-52545421474.shopifypreview.com/products/sd40vc-stretch-canvas-mocha
footwear,type:Shoes,Shoes,sd40vc-stretch-canvas,PASS,footwear renders (box 242x50),96a383b7-e39,true,242x50,sd40v,product_title,Toshie - SD40VC - Stretch Canvas,false,,keyword_match,,,,https://e4no22mu9tsutcr4-52545421474.shopifypreview.com/products/sd40vc-stretch-canvas
footwear,type:Shoes,Shoes,ashton-custom-pro-tap-boot-ta960-size-10-5l,PASS,footwear renders (box 242x50),96a383b7-e39,true,242x50,ta960,product_title,Royal Blue Custom Pro Tap Boot - TA960 (size 10.5L) (Tap Fest Event),false,,keyword_match,,,,https://e4no22mu9tsutcr4-52545421474.shopifypreview.com/products/ashton-custom-pro-tap-boot-ta960-size-10-5l
footwear,type:Shoes,Shoes,green-custom-pro-tap-ta880,PASS,footwear renders (box 242x50),96a383b7-e39,true,242x50,ta880,product_title,Green Custom Pro Tap Shoe - TA880 (size 11L) (Tap Fest Event),false,,keyword_match,,,,https://e4no22mu9tsutcr4-52545421474.shopifypreview.com/products/green-custom-pro-tap-ta880
footwear,type:Shoes,Shoes,golden-custom-pro-tap-ta880,PASS,footwear renders (box 242x50),96a383b7-e39,true,242x50,ta880,product_title,Golden Custom Pro Tap Shoe - TA880 (size 4.5L) (Tap Fest Event),false,,keyword_match,,,,https://e4no22mu9tsutcr4-52545421474.shopifypreview.com/products/golden-custom-pro-tap-ta880
footwear,type:Shoes,Shoes,navy-white-custom-pro-tap-ta880,PASS,footwear renders (box 242x50),96a383b7-e39,true,242x50,ta880,product_title,Navy-White Custom Pro Tap Shoe - TA880 (size 10L) (Tap Fest Event),false,,keyword_match,,,,https://e4no22mu9tsutcr4-52545421474.shopifypreview.com/products/navy-white-custom-pro-tap-ta880
footwear,kw:Shoe,,black-friday-tap-bundle-1,FAIL,COVERAGE GAP — no chart/no paint,,false,,,,,false,,none,,,,https://e4no22mu9tsutcr4-52545421474.shopifypreview.com/products/black-friday-tap-bundle-1
footwear,empty-type(brand-default-foot),,tap-bundle-light,FAIL,COVERAGE GAP — no chart/no paint,,false,,,,,false,,none,,,,https://e4no22mu9tsutcr4-52545421474.shopifypreview.com/products/tap-bundle-light
footwear,type:Shoes,Shoes,tazer-ta88-adult,FAIL,COVERAGE GAP — no chart/no paint,,false,,,,,false,,none,,,,https://e4no22mu9tsutcr4-52545421474.shopifypreview.com/products/tazer-ta88-adult
footwear,empty-type(brand-default-foot),,tap-bundle-premium,FAIL,COVERAGE GAP — no chart/no paint,,false,,,,,false,,none,,,,https://e4no22mu9tsutcr4-52545421474.shopifypreview.com/products/tap-bundle-premium
footwear,type:Shoes,Shoes,taz-ta87-child,FAIL,COVERAGE GAP — no chart/no paint,,false,,,,,false,,none,,,,https://e4no22mu9tsutcr4-52545421474.shopifypreview.com/products/taz-ta87-child
footwear,type:Shoes,Shoes,theo-ta75,FAIL,COVERAGE GAP — no chart/no paint,,false,,,,,false,,none,,,,https://e4no22mu9tsutcr4-52545421474.shopifypreview.com/products/theo-ta75
footwear,type:Shoes,Shoes,teo-ta74-child,FAIL,COVERAGE GAP — no chart/no paint,,false,,,,,false,,none,,,,https://e4no22mu9tsutcr4-52545421474.shopifypreview.com/products/teo-ta74-child
footwear,type:Shoes,Shoes,taven-ta86-adult,FAIL,COVERAGE GAP — no chart/no paint,,false,,,,,false,,none,,,,https://e4no22mu9tsutcr4-52545421474.shopifypreview.com/products/taven-ta86-adult
footwear,type:Shoes,Shoes,tavi-ta85-child,FAIL,COVERAGE GAP — no chart/no paint,,false,,,,,false,,none,,,,https://e4no22mu9tsutcr4-52545421474.shopifypreview.com/products/tavi-ta85-child
footwear,type:Shoes,Shoes,jive-ii-bl303,FAIL,COVERAGE GAP — no chart/no paint,,false,,,,,false,,none,,,,https://e4no22mu9tsutcr4-52545421474.shopifypreview.com/products/jive-ii-bl303
footwear,type:Shoes,Shoes,amazon-item-sd16,PASS,footwear renders (box 242x50),96a383b7-e39,true,242x50,sd16,product_title,Amazon Item - SD16,false,,keyword_match,,,,https://e4no22mu9tsutcr4-52545421474.shopifypreview.com/products/amazon-item-sd16
footwear,type:Shoes,Shoes,jedi-jz55s-child,PASS,footwear renders (box 242x50),96a383b7-e39,true,242x50,jz55,product_title,Jedi - JZ55s (Child),false,,keyword_match,,,,https://e4no22mu9tsutcr4-52545421474.shopifypreview.com/products/jedi-jz55s-child
footwear,type:Shoes,Shoes,tampa-tap-fest-exclusive,PASS,footwear renders (box 242x50),96a383b7-e39,true,242x50,ta880,product_title,Ocean Waves Custom Pro Tap Shoe - TA880,false,,keyword_match,,,,https://e4no22mu9tsutcr4-52545421474.shopifypreview.com/products/tampa-tap-fest-exclusive
footwear,type:Shoes,Shoes,blossom-py01,FAIL,COVERAGE GAP — no chart/no paint,,false,,,,,false,,none,,,,https://e4no22mu9tsutcr4-52545421474.shopifypreview.com/products/blossom-py01
footwear,type:Shoes,Shoes,brio-sd120-child,PASS,footwear renders (box 242x50),96a383b7-e39,true,242x50,sd120,product_title,Brio - SD120 (Child),false,,keyword_match,,,,https://e4no22mu9tsutcr4-52545421474.shopifypreview.com/products/brio-sd120-child
footwear,type:Shoes,Shoes,tan-ba26-men,PASS,footwear renders (box 242x50),96a383b7-e39,true,242x50,ba26,product_title,Final Sale - BA26 (Men),false,,keyword_match,,,,https://e4no22mu9tsutcr4-52545421474.shopifypreview.com/products/tan-ba26-men
footwear,type:Shoes,Shoes,sd60s-child,PASS,footwear renders (box 242x50),96a383b7-e39,true,242x50,sd60s,product_title,Betty - SD60s (Child),false,,keyword_match,,,,https://e4no22mu9tsutcr4-52545421474.shopifypreview.com/products/sd60s-child
footwear,type:Shoes,Shoes,tate-ta28-child,PASS,footwear renders (box 242x50),96a383b7-e39,true,242x50,ta28,product_title,Tate - TA28s (Child),false,,keyword_match,,,,https://e4no22mu9tsutcr4-52545421474.shopifypreview.com/products/tate-ta28-child
footwear,type:Shoes,Shoes,tobias-ta852v,FAIL,COVERAGE GAP — no chart/no paint,,false,,,,,false,,none,,,,https://e4no22mu9tsutcr4-52545421474.shopifypreview.com/products/tobias-ta852v
footwear,type:Shoes,Shoes,canvas-bullet-ba45-child,PASS,footwear renders (box 242x50),96a383b7-e39,true,242x50,ba45,product_title,Stretch Canvas Bullet - BA45 (Child),false,,keyword_match,,,,https://e4no22mu9tsutcr4-52545421474.shopifypreview.com/products/canvas-bullet-ba45-child
footwear,type:Shoes,Shoes,leather-bullet-ba49-child,PASS,footwear renders (box 242x50),96a383b7-e39,true,242x50,ba49,product_title,Leather Bullet - BA49 (Child),false,,keyword_match,,,,https://e4no22mu9tsutcr4-52545421474.shopifypreview.com/products/leather-bullet-ba49-child
footwear,type:Shoes,Shoes,sky-blue-custom-pro-tap-ta880,PASS,footwear renders (box 242x50),96a383b7-e39,true,242x50,ta880,product_title,Sky Blue Custom Pro Tap Shoe - TA880 (size 4L),false,,keyword_match,,,,https://e4no22mu9tsutcr4-52545421474.shopifypreview.com/products/sky-blue-custom-pro-tap-ta880
