group,classify_why,product_type,handle,status,reason,sizeChart,shadowVisible,box,matched_keyword,match_field,matched_value,is_excluded,excluded_keyword,resolution_source,resolution_collection,reverify,certified,url
non-footwear,type:Leotards & Unitards(default-non-foot),Leotards & Unitards,coco-l1959,PASS,suppressed,,false,,,,,false,,none,,,,https://e4no22mu9tsutcr4-52545421474.shopifypreview.com/products/coco-l1959
non-footwear,type:Shorts,Shorts,jada-kids-shorts-l1883,PASS,suppressed,,false,,,,,false,,none,,,,https://e4no22mu9tsutcr4-52545421474.shopifypreview.com/products/jada-kids-shorts-l1883
non-footwear,type:Leotards & Unitards(default-non-foot),Leotards & Unitards,wanda-l1859,PASS,suppressed,,false,,,,,false,,none,,,,https://e4no22mu9tsutcr4-52545421474.shopifypreview.com/products/wanda-l1859
non-footwear,type:Leotards & Unitards(default-non-foot),Leotards & Unitards,kinga-l1871,PASS,suppressed,,false,,,,,false,,none,,,,https://e4no22mu9tsutcr4-52545421474.shopifypreview.com/products/kinga-l1871
non-footwear,type:Leotards & Unitards(default-non-foot),Leotards & Unitards,julia-l1857,PASS,suppressed,,false,,,,,false,,none,,,,https://e4no22mu9tsutcr4-52545421474.shopifypreview.com/products/julia-l1857
non-footwear,type:Leotards & Unitards(default-non-foot),Leotards & Unitards,hanna-l1847,PASS,suppressed,,false,,,,,false,,none,,,,https://e4no22mu9tsutcr4-52545421474.shopifypreview.com/products/hanna-l1847
non-footwear,type:Leotards & Unitards(default-non-foot),Leotards & Unitards,susie-l1845,PASS,suppressed,,false,,,,,false,,none,,,,https://e4no22mu9tsutcr4-52545421474.shopifypreview.com/products/susie-l1845
non-footwear,type:Leotards & Unitards(default-non-foot),Leotards & Unitards,vera-l1843,PASS,suppressed,,false,,,,,false,,none,,,,https://e4no22mu9tsutcr4-52545421474.shopifypreview.com/products/vera-l1843
non-footwear,type:Leotards & Unitards(default-non-foot),Leotards & Unitards,farah-l1733,PASS,suppressed,,false,,,,,false,,none,,,,https://e4no22mu9tsutcr4-52545421474.shopifypreview.com/products/farah-l1733
non-footwear,type:Leotards & Unitards(default-non-foot),Leotards & Unitards,tilleli-l1743,PASS,suppressed,,false,,,,,false,,none,,,,https://e4no22mu9tsutcr4-52545421474.shopifypreview.com/products/tilleli-l1743
non-footwear,type:Leotards & Unitards(default-non-foot),Leotards & Unitards,allia-l1747,PASS,suppressed,,false,,,,,false,,none,,,,https://e4no22mu9tsutcr4-52545421474.shopifypreview.com/products/allia-l1747
non-footwear,type:Leotards & Unitards(default-non-foot),Leotards & Unitards,rania-l1727,PASS,suppressed,,false,,,,,false,,none,,,,https://e4no22mu9tsutcr4-52545421474.shopifypreview.com/products/rania-l1727
non-footwear,type:Leotards & Unitards(default-non-foot),Leotards & Unitards,tayri-l1741,PASS,suppressed,,false,,,,,false,,none,,,,https://e4no22mu9tsutcr4-52545421474.shopifypreview.com/products/tayri-l1741
non-footwear,type:Leotards & Unitards(default-non-foot),Leotards & Unitards,hiba-l1729,PASS,suppressed,,false,,,,,false,,none,,,,https://e4no22mu9tsutcr4-52545421474.shopifypreview.com/products/hiba-l1729
non-footwear,type:Leotards & Unitards(default-non-foot),Leotards & Unitards,maya-l1745,PASS,suppressed,,false,,,,,false,,none,,,,https://e4no22mu9tsutcr4-52545421474.shopifypreview.com/products/maya-l1745
non-footwear,type:Leotards & Unitards(default-non-foot),Leotards & Unitards,tala-l1705,PASS,suppressed,,false,,,,,false,,none,,,,https://e4no22mu9tsutcr4-52545421474.shopifypreview.com/products/tala-l1705
non-footwear,type:Leotards & Unitards(default-non-foot),Leotards & Unitards,aziza-l1717,PASS,suppressed,,false,,,,,false,,none,,,,https://e4no22mu9tsutcr4-52545421474.shopifypreview.com/products/aziza-l1717
non-footwear,type:Leotards & Unitards(default-non-foot),Leotards & Unitards,tiziri-l1703,PASS,suppressed,,false,,,,,false,,none,,,,https://e4no22mu9tsutcr4-52545421474.shopifypreview.com/products/tiziri-l1703
non-footwear,type:Leotards & Unitards(default-non-foot),Leotards & Unitards,steffy-y-sl05,PASS,suppressed,,false,,,,,false,,none,,,,https://e4no22mu9tsutcr4-52545421474.shopifypreview.com/products/steffy-y-sl05
non-footwear,type:Leotards & Unitards(default-non-foot),Leotards & Unitards,patty-y-sl03,PASS,suppressed,,false,,,,,false,,none,,,,https://e4no22mu9tsutcr4-52545421474.shopifypreview.com/products/patty-y-sl03
non-footwear,type:Leotards & Unitards(default-non-foot),Leotards & Unitards,be-you-playtime-pastel-l2091,PASS,suppressed,,false,,,,,false,,none,,,,https://e4no22mu9tsutcr4-52545421474.shopifypreview.com/products/be-you-playtime-pastel-l2091
non-footwear,type:Leotards & Unitards(default-non-foot),Leotards & Unitards,gigi-l837,PASS,suppressed,,false,,,,,false,,none,,,,https://e4no22mu9tsutcr4-52545421474.shopifypreview.com/products/gigi-l837
non-footwear,type:Leotards & Unitards(default-non-foot),Leotards & Unitards,olivia-l1855,PASS,suppressed,,false,,,,,false,,none,,,,https://e4no22mu9tsutcr4-52545421474.shopifypreview.com/products/olivia-l1855
non-footwear,type:Leotards & Unitards(default-non-foot),Leotards & Unitards,anielia-l1853,PASS,suppressed,,false,,,,,false,,none,,,,https://e4no22mu9tsutcr4-52545421474.shopifypreview.com/products/anielia-l1853
non-footwear,type:Leotards & Unitards(default-non-foot),Leotards & Unitards,houda-l1713,PASS,suppressed,,false,,,,,false,,none,,,,https://e4no22mu9tsutcr4-52545421474.shopifypreview.com/products/houda-l1713
non-footwear,type:Leotards & Unitards(default-non-foot),Leotards & Unitards,lalla-l1835,PASS,suppressed,,false,,,,,false,,none,,,,https://e4no22mu9tsutcr4-52545421474.shopifypreview.com/products/lalla-l1835
non-footwear,type:Leotards & Unitards(default-non-foot),Leotards & Unitards,izza-l1815,PASS,suppressed,,false,,,,,false,,none,,,,https://e4no22mu9tsutcr4-52545421474.shopifypreview.com/products/izza-l1815
non-footwear,type:Leotards & Unitards(default-non-foot),Leotards & Unitards,tamara-l1735,PASS,suppressed,,false,,,,,false,,none,,,,https://e4no22mu9tsutcr4-52545421474.shopifypreview.com/products/tamara-l1735
non-footwear,type:Skirts(default-non-foot),Skirts,tamara-kids-skirt-l1737,PASS,suppressed,,false,,,,,false,,none,,,,https://e4no22mu9tsutcr4-52545421474.shopifypreview.com/products/tamara-kids-skirt-l1737
non-footwear,type:Skirts(default-non-foot),Skirts,hiba-kids-skirt-l1731,PASS,suppressed,,false,,,,,false,,none,,,,https://e4no22mu9tsutcr4-52545421474.shopifypreview.com/products/hiba-kids-skirt-l1731
non-footwear,type:Shorts,Shorts,hula-kids-shorts-l1723,PASS,suppressed,,false,,,,,false,,none,,,,https://e4no22mu9tsutcr4-52545421474.shopifypreview.com/products/hula-kids-shorts-l1723
non-footwear,type:Shorts,Shorts,lila-kids-shorts-l1695,PASS,suppressed,,false,,,,,false,,none,,,,https://e4no22mu9tsutcr4-52545421474.shopifypreview.com/products/lila-kids-shorts-l1695
